schema_version,config_id,scenario_id,scenario_family,description,reference_scenario_id,arrival_mode,arrival_rate_per_second,demand_multiplier,arrival_cutoff_seconds,arrival_guard,drain_rule,security_capacity,security_queue_capacity,security_service_distribution,security_service_p1_seconds,immigration_capacity,immigration_queue_capacity,immigration_service_distribution,immigration_service_p1_seconds,queue_policy,automation_mapping_mode,automation_uptake,automation_multiplier,additional_check_semantics,additional_check_probability_conventional,additional_check_probability_technology,additional_check_service_distribution,additional_check_service_p1_seconds,input_sample_id,pilot_replications,master_seed,crn_alignment_status,input_status,calibration_status,claim_ceiling,notes
1.0,OP_PEAK_DURATION_BASE_S29_I17_T300,PEAK_DURATION_S29_I17_T300,PEAK_DURATION,Exploratory Base-rate stationary-HPP duration cell with 29 Security and 17 Immigration positions open for a 300-second arrival window,REFERENCE_ASSUMPTION_SANDBOX_V1,HPP,1.3642132969720073,1.0,300,5000,FULL_DRAIN,29,5000,FIXED,21.818181818,17,5000,FIXED,13,pooled,DISABLED,0,1,NONE,0,0,UNSET,,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,50,202607290000,PENDING_VALIDATION,FROZEN_PEAK_DURATION_SENSITIVITY_DESIGN,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,"TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1; post-outcome exploratory duration sensitivity; stationary short-window HPP rate is extended as a controlled assumption, not an observed peak or time-of-day profile; capacity is concurrently open service positions, not an observed roster; paired interpretation requires exact CRN alignment PASS"
1.0,OP_PEAK_DURATION_BASE_S29_I17_T900,PEAK_DURATION_S29_I17_T900,PEAK_DURATION,Exploratory Base-rate stationary-HPP duration cell with 29 Security and 17 Immigration positions open for a 900-second arrival window,REFERENCE_ASSUMPTION_SANDBOX_V1,HPP,1.3642132969720073,1.0,900,5000,FULL_DRAIN,29,5000,FIXED,21.818181818,17,5000,FIXED,13,pooled,DISABLED,0,1,NONE,0,0,UNSET,,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,50,202607290000,PENDING_VALIDATION,FROZEN_PEAK_DURATION_SENSITIVITY_DESIGN,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,"TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1; post-outcome exploratory duration sensitivity; stationary short-window HPP rate is extended as a controlled assumption, not an observed peak or time-of-day profile; capacity is concurrently open service positions, not an observed roster; paired interpretation requires exact CRN alignment PASS"
1.0,OP_PEAK_DURATION_BASE_S29_I17_T1800,PEAK_DURATION_S29_I17_T1800,PEAK_DURATION,Exploratory Base-rate stationary-HPP duration cell with 29 Security and 17 Immigration positions open for a 1800-second arrival window,REFERENCE_ASSUMPTION_SANDBOX_V1,HPP,1.3642132969720073,1.0,1800,5000,FULL_DRAIN,29,5000,FIXED,21.818181818,17,5000,FIXED,13,pooled,DISABLED,0,1,NONE,0,0,UNSET,,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,50,202607290000,PENDING_VALIDATION,FROZEN_PEAK_DURATION_SENSITIVITY_DESIGN,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,"TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1; post-outcome exploratory duration sensitivity; stationary short-window HPP rate is extended as a controlled assumption, not an observed peak or time-of-day profile; capacity is concurrently open service positions, not an observed roster; paired interpretation requires exact CRN alignment PASS"
1.0,OP_PEAK_DURATION_BASE_S29_I17_T3600,PEAK_DURATION_S29_I17_T3600,PEAK_DURATION,Exploratory Base-rate stationary-HPP duration cell with 29 Security and 17 Immigration positions open for a 3600-second arrival window,REFERENCE_ASSUMPTION_SANDBOX_V1,HPP,1.3642132969720073,1.0,3600,5712,FULL_DRAIN,29,5712,FIXED,21.818181818,17,5712,FIXED,13,pooled,DISABLED,0,1,NONE,0,0,UNSET,,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,50,202607290000,PENDING_VALIDATION,FROZEN_PEAK_DURATION_SENSITIVITY_DESIGN,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,"TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1; post-outcome exploratory duration sensitivity; stationary short-window HPP rate is extended as a controlled assumption, not an observed peak or time-of-day profile; capacity is concurrently open service positions, not an observed roster; paired interpretation requires exact CRN alignment PASS"
1.0,OP_PEAK_DURATION_BASE_S29_I17_T7200,PEAK_DURATION_S29_I17_T7200,PEAK_DURATION,Exploratory Base-rate stationary-HPP duration cell with 29 Security and 17 Immigration positions open for a 7200-second arrival window,REFERENCE_ASSUMPTION_SANDBOX_V1,HPP,1.3642132969720073,1.0,7200,10914,FULL_DRAIN,29,10914,FIXED,21.818181818,17,10914,FIXED,13,pooled,DISABLED,0,1,NONE,0,0,UNSET,,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,50,202607290000,PENDING_VALIDATION,FROZEN_PEAK_DURATION_SENSITIVITY_DESIGN,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,"TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1; post-outcome exploratory duration sensitivity; stationary short-window HPP rate is extended as a controlled assumption, not an observed peak or time-of-day profile; capacity is concurrently open service positions, not an observed roster; paired interpretation requires exact CRN alignment PASS"
1.0,OP_PEAK_DURATION_BASE_S28_I16_T300,PEAK_DURATION_S28_I16_T300,PEAK_DURATION,Exploratory Base-rate stationary-HPP duration cell with 28 Security and 16 Immigration positions open for a 300-second arrival window,REFERENCE_ASSUMPTION_SANDBOX_V1,HPP,1.3642132969720073,1.0,300,5000,FULL_DRAIN,28,5000,FIXED,21.818181818,16,5000,FIXED,13,pooled,DISABLED,0,1,NONE,0,0,UNSET,,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,50,202607290000,PENDING_VALIDATION,FROZEN_PEAK_DURATION_SENSITIVITY_DESIGN,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,"TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1; post-outcome exploratory duration sensitivity; stationary short-window HPP rate is extended as a controlled assumption, not an observed peak or time-of-day profile; capacity is concurrently open service positions, not an observed roster; paired interpretation requires exact CRN alignment PASS"
1.0,OP_PEAK_DURATION_BASE_S28_I16_T900,PEAK_DURATION_S28_I16_T900,PEAK_DURATION,Exploratory Base-rate stationary-HPP duration cell with 28 Security and 16 Immigration positions open for a 900-second arrival window,REFERENCE_ASSUMPTION_SANDBOX_V1,HPP,1.3642132969720073,1.0,900,5000,FULL_DRAIN,28,5000,FIXED,21.818181818,16,5000,FIXED,13,pooled,DISABLED,0,1,NONE,0,0,UNSET,,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,50,202607290000,PENDING_VALIDATION,FROZEN_PEAK_DURATION_SENSITIVITY_DESIGN,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,"TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1; post-outcome exploratory duration sensitivity; stationary short-window HPP rate is extended as a controlled assumption, not an observed peak or time-of-day profile; capacity is concurrently open service positions, not an observed roster; paired interpretation requires exact CRN alignment PASS"
1.0,OP_PEAK_DURATION_BASE_S28_I16_T1800,PEAK_DURATION_S28_I16_T1800,PEAK_DURATION,Exploratory Base-rate stationary-HPP duration cell with 28 Security and 16 Immigration positions open for a 1800-second arrival window,REFERENCE_ASSUMPTION_SANDBOX_V1,HPP,1.3642132969720073,1.0,1800,5000,FULL_DRAIN,28,5000,FIXED,21.818181818,16,5000,FIXED,13,pooled,DISABLED,0,1,NONE,0,0,UNSET,,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,50,202607290000,PENDING_VALIDATION,FROZEN_PEAK_DURATION_SENSITIVITY_DESIGN,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,"TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1; post-outcome exploratory duration sensitivity; stationary short-window HPP rate is extended as a controlled assumption, not an observed peak or time-of-day profile; capacity is concurrently open service positions, not an observed roster; paired interpretation requires exact CRN alignment PASS"
1.0,OP_PEAK_DURATION_BASE_S28_I16_T3600,PEAK_DURATION_S28_I16_T3600,PEAK_DURATION,Exploratory Base-rate stationary-HPP duration cell with 28 Security and 16 Immigration positions open for a 3600-second arrival window,REFERENCE_ASSUMPTION_SANDBOX_V1,HPP,1.3642132969720073,1.0,3600,5712,FULL_DRAIN,28,5712,FIXED,21.818181818,16,5712,FIXED,13,pooled,DISABLED,0,1,NONE,0,0,UNSET,,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,50,202607290000,PENDING_VALIDATION,FROZEN_PEAK_DURATION_SENSITIVITY_DESIGN,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,"TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1; post-outcome exploratory duration sensitivity; stationary short-window HPP rate is extended as a controlled assumption, not an observed peak or time-of-day profile; capacity is concurrently open service positions, not an observed roster; paired interpretation requires exact CRN alignment PASS"
1.0,OP_PEAK_DURATION_BASE_S28_I16_T7200,PEAK_DURATION_S28_I16_T7200,PEAK_DURATION,Exploratory Base-rate stationary-HPP duration cell with 28 Security and 16 Immigration positions open for a 7200-second arrival window,REFERENCE_ASSUMPTION_SANDBOX_V1,HPP,1.3642132969720073,1.0,7200,10914,FULL_DRAIN,28,10914,FIXED,21.818181818,16,10914,FIXED,13,pooled,DISABLED,0,1,NONE,0,0,UNSET,,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,50,202607290000,PENDING_VALIDATION,FROZEN_PEAK_DURATION_SENSITIVITY_DESIGN,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,"TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1; post-outcome exploratory duration sensitivity; stationary short-window HPP rate is extended as a controlled assumption, not an observed peak or time-of-day profile; capacity is concurrently open service positions, not an observed roster; paired interpretation requires exact CRN alignment PASS"
