scenario_id,parameter_name,parameter_value,unit,provenance_id,mapping_role,notes
SERVICE_SG_TRAIN_MANUAL_45S,immigration_service_p1_seconds,45,seconds,SG_ICA_TRAIN_MANUAL_45S,CONTEXT_SCENARIO,Named official manual-proxy context
AUTO_HTX_TRIAL_U50_M60,automation_mapping_mode,MULTIPLIER,enum,SG_HTX_CLEARANCE_M60,CONTEXT_SCENARIO,Explicit service-demand mapping assumption
AUTO_HTX_TRIAL_U50_M60,automation_uptake,0.5,proportion,ASSUMP_AUTOMATION_UPTAKE_050_100,ILLUSTRATIVE_SCENARIO,Effective uptake sensitivity
AUTO_HTX_TRIAL_U50_M60,automation_multiplier,0.6,multiplier,SG_HTX_CLEARANCE_M60,CONTEXT_SCENARIO,HTX trial anchor
AUTO_HTX_TRIAL_U100_M60,automation_mapping_mode,MULTIPLIER,enum,SG_HTX_CLEARANCE_M60,CONTEXT_SCENARIO,Explicit service-demand mapping assumption
AUTO_HTX_TRIAL_U100_M60,automation_uptake,1,proportion,ASSUMP_AUTOMATION_UPTAKE_050_100,ILLUSTRATIVE_SCENARIO,Effective uptake endpoint
AUTO_HTX_TRIAL_U100_M60,automation_multiplier,0.6,multiplier,SG_HTX_CLEARANCE_M60,CONTEXT_SCENARIO,HTX trial anchor
AUTO_ICA_ROLLOUT_U50_M40,automation_mapping_mode,MULTIPLIER,enum,SG_ICA_CLEARANCE_M40,CONTEXT_SCENARIO,Explicit service-demand mapping assumption
AUTO_ICA_ROLLOUT_U50_M40,automation_uptake,0.5,proportion,ASSUMP_AUTOMATION_UPTAKE_050_100,ILLUSTRATIVE_SCENARIO,Effective uptake sensitivity
AUTO_ICA_ROLLOUT_U50_M40,automation_multiplier,0.4,multiplier,SG_ICA_CLEARANCE_M40,CONTEXT_SCENARIO,ICA rollout anchor kept separate
AUTO_ICA_ROLLOUT_U100_M40,automation_mapping_mode,MULTIPLIER,enum,SG_ICA_CLEARANCE_M40,CONTEXT_SCENARIO,Explicit service-demand mapping assumption
AUTO_ICA_ROLLOUT_U100_M40,automation_uptake,1,proportion,ASSUMP_AUTOMATION_UPTAKE_050_100,ILLUSTRATIVE_SCENARIO,Effective uptake endpoint
AUTO_ICA_ROLLOUT_U100_M40,automation_multiplier,0.4,multiplier,SG_ICA_CLEARANCE_M40,CONTEXT_SCENARIO,ICA rollout anchor kept separate
RISK_EXTERNAL_P02_D900,additional_check_semantics,COUNTER_HELD_RISK_REFERRAL_PROXY,enum,STRUCT_DORTON_SECONDARY,STRUCTURAL,Task 2 v0.1 holds the same Immigration resource
RISK_EXTERNAL_P02_D900,additional_check_probability_conventional,0.02,proportion,EXT_CBP_SECONDARY_BOUNDARY,EXTERNAL_BOUNDARY,Foreign upper-bound sensitivity
RISK_EXTERNAL_P02_D900,additional_check_probability_technology,0.02,proportion,EXT_CBP_SECONDARY_BOUNDARY,EXTERNAL_BOUNDARY,Foreign upper-bound sensitivity
RISK_EXTERNAL_P02_D900,additional_check_service_distribution,FIXED,enum,ASSUMP_FIXED_CONTEXT_MEAN,TRANSPARENT_ASSUMPTION,No distribution is inferred from a range
RISK_EXTERNAL_P02_D900,additional_check_service_p1_seconds,900,seconds,EXT_CBP_SECONDARY_BOUNDARY,EXTERNAL_BOUNDARY,Lower duration bound
RISK_EXTERNAL_P02_D7200,additional_check_semantics,COUNTER_HELD_RISK_REFERRAL_PROXY,enum,STRUCT_DORTON_SECONDARY,STRUCTURAL,Task 2 v0.1 holds the same Immigration resource
RISK_EXTERNAL_P02_D7200,additional_check_probability_conventional,0.02,proportion,EXT_CBP_SECONDARY_BOUNDARY,EXTERNAL_BOUNDARY,Foreign upper-bound sensitivity
RISK_EXTERNAL_P02_D7200,additional_check_probability_technology,0.02,proportion,EXT_CBP_SECONDARY_BOUNDARY,EXTERNAL_BOUNDARY,Foreign upper-bound sensitivity
RISK_EXTERNAL_P02_D7200,additional_check_service_distribution,FIXED,enum,ASSUMP_FIXED_CONTEXT_MEAN,TRANSPARENT_ASSUMPTION,No distribution is inferred from a range
RISK_EXTERNAL_P02_D7200,additional_check_service_p1_seconds,7200,seconds,EXT_CBP_SECONDARY_BOUNDARY,EXTERNAL_BOUNDARY,Upper duration bound
